"A project manager joins a project team, replacing a manager who left. During initial meetings, the project manager realized that the team members have differing opinions about how to address technical decisions. Team members did NOT respect each other's ideas, and the environment was becoming counterproductive. However, now with the new manager’s leadership, the team has begun to communicate more effectively and develop some processes and procedures for working together. 
  
In what phase of development is the team now? 

A: Forming 
B: Storming 
C: Norming 
D: Performing ","C - FEEDBACK: During the norming phase, team members begin to work together and adjust their work habits and behaviors to support the team. The team members learn to trust each other."
"A project is comprised of three highly dependent parts, each being completed by its own project team. The team leader, worried that conflicts might arise when the outputs from the three teams are combined, asks for advice.  

What advice should the project manager provide? 

A: Identify potential conflicts and then arrange for a weekly joint meeting with the members of the three teams to review each other’s work. 
B: Decide which team’s work should be prioritized, then delay the work from the other two teams to ensure there are NO conflicts. 
C: Document conflicts as they occur and take action to remedy any problems that arise. 
D: Continue to let all three teams work simultaneously, recognizing that conflicts can be addressed at the testing phase. ","C - FEEDBACK: During the norming phase, team members begin to work together and adjust their work habits and behaviors to support the team. The team members learn to trust each other."
"An unresolved conflict between a member of a third-party vendor's team and a member of a project team is causing disruption. The issue is escalated to the project manager.
  
What should the project manager do first? 

A: Meet with the vendor to discuss the issue. 
B: Place this item on the backlog. 
C: Draft and send a contractual letter to the vendor. 
D: Send an email to the vendor to discuss the issue. ",A - FEEDBACK: The project manager needs to resolve this issue quickly. A face-to- Face meeting is the best choice to resolve this conflict. Any other communication choice is NOT direct enough.
"A project team is comprised of local and virtual team members. To manage scheduling priority conflicts among team members, the project manager schedules a video conference call.  
 
Which conflict resolution technique does this statement demonstrate? 

A: Smooth/Accommodate  
B: Collaborate/Problem Solve  
C: Force/Direct  
D: Compromise/Reconcile",B - FEEDBACK: The collaborate/problem solve approach incorporates multiple viewpoints and insights from differing perspectives. It requires a cooperative attitude and open dialogue that typically leads to consensus and commitment. This approach can result in a win-win situation.
"The project manager schedules an iteration review and learns that a few key stakeholders do NOT approve of the development of a feature.  
 
What should the project manager do first to address this issue? 

A: Invite project team members to a brainstorming session to identify an appropriate response. 
B: Address the issue only after evaluating why these stakeholders are concerned. 
C: Determine the impact of the conflict by listing the pros and cons of the situation. 
D: Ask the project sponsor to act as a neutral party in negotiation with those stakeholders who are dissatisfied. ",B - FEEDBACK: Iterations help identify and reduce uncertainty in the project. The teams need the feedback from each iteration to learn about how they work and how to improve.
"At a weekly project status meeting, a key team member expresses concerns about the overall approach documented within the project management plan. The project manager is surprised because the team is in the process of executing an important component of the project and the concern has NOT been raised before.  
 
What steps should the project manager take? 

A: Update the risk register to document the concerns, then continue with the meeting’s scheduled agenda items. 
B: Recognize that the concern must be discussed and resolved prior to continuing with the meeting’s agenda items. 
C: Address the team with a generic reminder about meeting etiquette, then ask if the team wants to use the time to discuss the concerns raised during the meeting. 
D: Acknowledge the team member’s concern immediately, continue with the scheduled agenda, then privately meet with the team member to understand the concerns expressed. ","D - FEEDBACK: Conflict should be addressed in private first, to better understand the concern being raised. Exploring the concern after the meeting gives the project manager an opportunity to verify the concern and determine needed next steps without disrupting a large meeting."
"Certain key stakeholders are dissatisfied with the development of a key feature of a project. They express their dissatisfaction during an iteration review meeting. 
 
What should the project manager do first to resolve this issue?  

A: Gather the project team for a brainstorming session and identify a solution. 
B: Identify the reasons why there are issues with the feature, then address the issue. 
C: Create a list of the pros and cons of the situation to define the impact of the conflict. 
D: Add a neutral party, such as the project sponsor, to function as a negotiator with stakeholders.",B - FEEDBACK: Working with the customer in identifying the source of dissatisfaction with the feature is a good first step. This also helps with resolving conflict between the team and stakeholders.
"During the execution of a project, a key team member is concerned with the overall approach documented in the project management plan. The member surprises the project manager with negative comments about the approach during a weekly status meeting. 
 
How should the project manager address the team member’s concerns?  

A: Continue with the meeting and ensure that the concerns are added to the risk register after the meeting is finished. 
B: Continue with the scheduled agenda items after reminding the team member of expected meeting etiquette. Then, solicit feedback about the etiquette expectations.  
C: Remember that a project should NOT go forward when key team members are in disagreement. Use the meeting to discuss the members' concerns.  
D: Make a short comment to acknowledge the team member's concerns, continue with the meeting, and meet with the member in private to discuss their concerns.  ",D - FEEDBACK: Conflict should be addressed in private in order to better understand the concern being raised. Exploring the concern after the meeting gives the project manager an opportunity to verify it and determine next steps without disrupting the meeting.
"A project is utilizing a third-party contractor. A member of the contractor's team raises an issue with a member of the project team. The two individuals are NOT able to work out a solution. The project manager is aware of the disagreement. 
 
Which type of communication should the project manager use first when contacting the vendor about this issue? 

A: Face-to- Face 
B: Phone 
C: Contractual letter 
D: Email ","A - FEEDBACK: Face-to- Face interaction is usually the most effective way to build the trusting relationships that are needed to manage a project. Once relationships are established, virtual interaction can be used to maintain the relationship."
"Three project teams are working on parts of a single project. The parts are highly dependent on each other. The leader of the team indicates that this might create conflicts when the outputs from the three teams are combined. 
 
What guidance should the project manager offer to the team lead? 

A: Identify potential conflicts and arrange for a weekly joint meeting with the members of the three teams to monitor each other’s work. 
B: Decide which team’s work should be prioritized, then delay the work from the other two teams to ensure there are NO conflicts. 
C: Document conflicts as they occur and take action to remedy any problems that arise. 
D: Tell all three teams to continue to work simultaneously, recognizing that conflicts can be addressed at the testing phase. ","A - FEEDBACK: Before deciding to act, the project manager needs to determine the potential conflicts and monitor progress."
"A project manager has assembled a project team. During initial meetings, the project manager observes that team members are getting to know each other, feeling excited and positive about the project, and have NOT been told the specific details of the project.  

In what phase of development is the team? 

A: Storming 
B: Norming 
C: Forming 
D: Performing",C - FEEDBACK: The Forming phase is when the team members meet and learn about the project and their formal roles and responsibilities. Team members tend to be solitary and independent in this phase.
"The atmosphere is tense in the sprint planning review. The agile team members are visibly unhappy—one of them kicks a chair and shouts at the product owner, ""That just doesn't make sense!"" 
  
Which two actions should the project manager take in this situation? (Choose TWO.) 

A: Remind the team of the product owner's responsibilities and authority.  
B: Calm all present by asking them to call on their emotional intelligence. 
C: Intervene, giving one uninterrupted minute to each person present to state their case. 
D: Reprimand the member who kicked the chair with a warning. 
E: Facilitate by asking the team to suggest ways to resolve the points of dispute.","C, E - FEEDBACK: The project manager is addressing the conflict with a collaborate/problem approach, first ensuring all viewpoints are expressed and then inviting suggestions on how to resolve the dispute. If you remind the team about one person’s authority and/or reprimand the protesting member, you are using a force/direct approach, which is not compatible with agile principles, and which is, in any case, a last resort. On the other hand, if you only calm or placate, then you may NOT reach a compromise, which is the goal."
"An efficient, empowered agile innovation team does NOT understand why required approvals from the legal department are allowed to delay their progress. Eventually, the team confronts the product owner in a heated exchange. The product owner replies that the approvals are needed to check for existing patents, which would block the product from going to market. 
 
How should a project manager prevent such conflicts? 

A: Require that supporting department stakeholders attend the daily meetings to report progress. 
B: Ensure that the product owner can be easily approached to respond to team questions and concerns. 
C: Require the team to move a story to the Kanban blocked column if they have concerns about progress. 
D: Ensure that the product owner presents the team the rationale behind the refinement work flow.","B - FEEDBACK: The source of this conflict is a lack of communication, as well as inaction to prevent delay. The most comprehensive response is to ensure constant communication between the team and product owner."
"A Scrum innovation team is funded at varying levels by six (6) market units. Four (4) niche market units complain they are neglected because the team prioritizes mainstream unit goals. The marketing director suggests devoting a constant 40% of the team effort to the four (4) niche units in a balanced way.  
  
How can the team support this request? 

A: Group stories by unit; select 40% of niche stories to work on at each sprint. 
B: Split stories into mainstream or niche groups; plan 40% of niche story points at each sprint 
C: Group stories by unit; plan 10% of story points per niche unit at each sprint 
D: Split stories into mainstream or niche groups, plan 10% of mainstream stories at each sprint ","C - FEEDBACK: The requirement is to devote 40% of effort (story points) to each of the four (4) niche units at every iteration.  
 

 Group by unit: 4 niche + 6 mainstream  
 

 40% story points / 4 units = 10%"
"An R&D executive, who is a project stakeholder, occasionally visits the agile team's work area to give instructions about urgent feature work. The team begins work. During sprint reviews, the product owner becomes upset that the team worked on the requested features. 
  
How should the team address the problem? 

A: Escalate to ensure that the executive no longer interferes with the team. 
B: Meet with the executive and product owner to agree on a work flow. 
C: Require that the executive issues change requests for new items. 
D: Give the executive access to add new items to the backlog. ","B - FEEDBACK: In this case, the R&D executive stakeholder is bypassing the product owner and creating disruption. A working agreement between the executive and the product owner is needed to restore order."
"A project manager needs stakeholder involvement in order to identify strategic and operational assumptions and constraints. Unfortunately, the project manager is having difficulty obtaining consistent input due to lack of participation. 

In which two ways can the project manager encourage the stakeholder to participate and collaborate? (Choose TWO.) 

A: Use political awareness techniques. 
B: Be a servant leader. 
C: Timebox meetings.  
D: Use effective facilitation techniques. ","B, D - FEEDBACK: Facilitation is the ability to effectively guide a group event to a successful decision, solution, or conclusion. A facilitator ensures effective participation, so that participants achieve a mutual understanding, that all contributions are considered, that conclusions or results have full buy-in according to the decision process established for the project, and that the actions and agreements achieved are appropriately dealt with afterward."
"A project team is small, and the team members have known each other for a long time. The team's project is in the execution stage. Recently, a team member told the new project manager that another team member has been complaining about how the project is being managed. 
 
How should this new project manager respond? 

A: Review the current stakeholder engagement plan to identify how to resolve this difficulty. 
B: Schedule a team meeting to discuss the current team charter and ground rules, especially around communication and teamwork expectations. 
C: Hold a team morale-building event to improve team culture.   
D: Speak to the team members individually and ask them how they would like to deal with the situation. ",B - FEEDBACK: A team meeting is the best solution because it encourages every team member to participate and results in a clear set of guidelines for the team.
"A project manager is working on multiple projects. One project has new team members and is in early stages. The other projects are in various states of execution for the next few weeks.  
 
How can the project manager develop the new project team over the next few weeks?  

A: Help team members create a set of agreed rules for working, or social contract, that encourages team cohesion. 
B: Suggest that the team engage in multiple team-building events to normalize the team. 
C: Keep the team informed by sending short daily project status updates. 
D: Engage in face-to- Face personal conversations with each team member to build relationships.",A - FEEDBACK: Creating a social contract—or a set of agreed rules for working—will allow the team to normalize and be self-servicing when you are unavailable. The other choices do NOT encourage the team members to develop independently and as a team.
"A new project team is setting early priorities, and they plan to gain the customer's trust by delivering value as quickly as possible. Team member C mentions that they have worked with the project sponsor on other projects.  
 
How should the project manager connect these two facts and create an advantage for the project team? 

A: Make team member C the project leader since they already know the sponsor. 
B: Ask team member C to tell the whole team everything they know about the sponsor so that the team can work better. 
C: Explore how team member C can use personal influence with the sponsor to increase the project's potential for benefits realization.  
D: Discuss whether team member C has a conflict of interest in order to maintain an ethical standard.  ","C - FEEDBACK: Personal influence is a leadership skill that enables project teams and individuals to use existing relationships, building on them to further project activities and goals. In this case, team member C has an existing relationship that may help the project team to understand more quickly the needs of the project sponsor."
